,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
195,/organization/1stdibs,/funding-round/e9bdbfd0a574dd4dcae6fb60e23f3063,seed,,01-10-2012,
201,/organization/2-ladoshki,/funding-round/e245ddd36b40591a00c3b861cfc0b154,seed,,24-12-2013,
203,/organization/2-ngage-u,/funding-round/fec52b74531d46f3842723e0765ccd98,seed,,12-04-2012,58000.0
204,/organization/2-observe,/funding-round/1d59ac50e6b45687964d0a34c43490c3,seed,,25-06-2014,204189.0
217,/organization/20lines,/funding-round/010be4610c75917ad3a95856c6b6c14e,seed,,15-11-2012,114804.0
218,/organization/20lines,/funding-round/0e687a86ee81e919e381b372ec43da33,seed,,20-06-2013,321650.0
219,/organization/20lines,/funding-round/da810f9fa3df6b969094540665324e67,seed,,01-06-2014,800000.0
220,/organization/20n,/funding-round/3f93f2a4632ea78ebde703940a3ce470,seed,,01-12-2014,120000.0
221,/organization/20n,/funding-round/733566eaabbabd4ad7af9a90570d3272,seed,,01-05-2015,2100000.0
224,/organization/2100b-com-llc,/funding-round/2bd0cee48f02efd7279b00444680d514,seed,,01-01-2013,50000.0
225,/organization/2100b-com-llc,/funding-round/a266e1464cff1a25312d2ba1a8e787d7,seed,,01-01-2013,
243,/organization/22seeds,/funding-round/b4de43b6a16955f2b2b258dbd33f4967,seed,,15-10-2013,250000.0
255,/organization/23press,/funding-round/01e0ba8f61819fb20d1b722e0983659f,seed,,15-08-2011,50000.0
266,/organization/247-techies,/funding-round/6fecbecd928ca2850e9bc2c25028659c,seed,,05-11-2012,600000.0
270,/organization/24fundraiser-com,/funding-round/5998c4ff023d51aab3f02a6673908452,seed,,01-05-2014,400000.0
271,/organization/24h00,/funding-round/0706afb19cd5617c6c3a8d5c1bfb1564,seed,,01-08-2006,
274,/organization/24me,/funding-round/435e6a1e70d6a73dc97b8d60030ac3f7,seed,,02-05-2014,
276,/organization/24pagebooks,/funding-round/22f155f76945785c263f3de2b88ab43e,seed,,24-05-2011,50000.0
277,/organization/24symbols,/funding-round/4ce16a5c9e9da1bd73f5fdaadfc4d52b,seed,,20-10-2010,347354.0
278,/organization/24symbols,/funding-round/54b6d3546863d1dbb4590c3bd0005dd1,seed,,15-05-2013,2588852.0
279,/organization/24symbols,/funding-round/c1fe60d36b4c0db378cad8ff95963a75,seed,,01-02-2012,6563.0
283,/organization/250ok,/funding-round/7633ab9e95c3783c2836af173614ff0a,seed,,01-09-2012,200000.0
284,/organization/25eight,/funding-round/354fd5ac4d6ed663bf4fd123395b608a,seed,,26-01-2010,25000.0
286,/organization/27-bards,/funding-round/200b89f6f8678f58132435770d4c1a90,seed,,06-11-2012,
287,/organization/27-perry,/funding-round/1416deb52b046cb620d13526502563bb,seed,,17-05-2012,118000.0
289,/organization/280-north,/funding-round/4433764c0e634139c2d831a2ba13a158,seed,,01-01-2008,
293,/organization/2b-angels,/funding-round/2d2dd695762cdfecfeff328b4c91a05c,seed,,01-11-2013,
303,/organization/2code-online,/funding-round/96152349ab3218d7c6f2d539d5faa225,seed,,01-01-2008,
317,/organization/2heuresavant,/funding-round/bc82dd3a0a22e679428c31505f140567,seed,,01-07-2010,33457.0
318,/organization/2houses,/funding-round/2a4ac36d200664c417199d2c3392d4e0,seed,,08-08-2011,106626.0
325,/organization/2nd-screen-games,/funding-round/78ce782530236092429784b236af3833,seed,,01-12-2012,
331,/organization/2ndnature,/funding-round/0306e729a644cd1f094dddac98374d81,seed,,31-03-2013,20000.0
334,/organization/2redbeans,/funding-round/ed719ecfd7240b23c3f4650aee650fa6,seed,,15-10-2014,2300000.0
337,/organization/2threads,/funding-round/6da1098e8c5703abb6d909b0458e20da,seed,,01-08-2007,100000.0
342,/organization/2u,/funding-round/648453c615b740e1b0902dca6e15a2e9,seed,,25-03-2009,2275000.0
347,/organization/2win-solutions,/funding-round/ddc54b3aab06d1c37d78cd8b0290b77e,seed,,01-01-2008,
355,/organization/3-kinds-of-ice,/funding-round/2c1d62f2ecca5c0eea1611c90391fa29,seed,,10-01-2015,
364,/organization/30-second-showcase,/funding-round/ce246945d59f3a7b2a1d29b45cdef6d1,seed,,20-05-2013,25000.0
369,/organization/321lend-inc,/funding-round/45e6c618c266995469f5c45adec41ed7,seed,,16-02-2015,
371,/organization/33across,/funding-round/5ef14023a2de6575c04d4da93408e463,seed,,13-03-2009,750000.0
385,/organization/360learning,/funding-round/dfd69e7f2e9f9f01e1b42dbfd5929ba7,seed,,30-09-2013,1543920.0
399,/organization/365looks,/funding-round/465afffbce6402a3fc84b9ffa438dfca,seed,,01-12-2011,54096.0
407,/organization/37coins,/funding-round/35788ff148fef945556f8d4ad10ff9b7,seed,,01-06-2014,500000.0
408,/organization/37coins,/funding-round/3fdf687b7f1c8db8d077566447c767db,seed,,15-03-2014,25000.0
415,/organization/3baysover,/funding-round/8321dcb6834cf9ee6aaac4834907d015,seed,,01-08-2011,375000.0
418,/organization/3c-plus,/funding-round/e8e5e121d4844d90993cc6a46de297fd,seed,,10-01-2013,75000.0
421,/organization/3clickemr-corporation,/funding-round/34dc67067884dfc0623f0e6d7b61ea03,seed,,23-06-2010,250000.0
431,/organization/3d-biomatrix,/funding-round/538774108667e3020f0a52a05873b8c1,seed,,05-02-2013,1465000.0
433,/organization/3d-by-flow,/funding-round/6a2a99301e3a10b14cf7eabdd4452eb6,seed,,30-06-2015,16674.0
434,/organization/3d-control-systems,/funding-round/e0d907b363eab798decb1ba235a0c8ac,seed,,10-11-2013,
444,/organization/3d-hubs,/funding-round/fdab9b38225c88bd0fd24b7496d00600,seed,,27-08-2013,
445,/organization/3d-industri-es,/funding-round/12b97a44d964d8f541e034208e34633e,seed,,01-03-2012,350000.0
447,/organization/3d-intelligent-pathological-medical-image-solutions,/funding-round/87be189f5ac17542359693e5c0955312,seed,,01-08-2015,12500.0
448,/organization/3d-operations-inc,/funding-round/270261adfe61366050f7deeb3960014f,seed,,15-05-2014,7500.0
449,/organization/3d-product-imaging,/funding-round/156a827450c9f7a149654d2b6c912bd2,seed,,01-01-2014,35000.0
455,/organization/3d-simo-2,/funding-round/4b62e1c7b8e61252af4fe6ca86109f7f,seed,,01-12-2014,
470,/organization/3derm-systems,/funding-round/7afa388fda9f1a82a15e40fd87c4a6e3,seed,,02-04-2013,
474,/organization/3diligent,/funding-round/c0f344ef536139b052c8f544105b0280,seed,,15-03-2015,900000.0
475,/organization/3dim,/funding-round/3789f9aa274aaef8936832f30e829fe4,seed,,30-10-2013,50000.0
477,/organization/3divaz-2,/funding-round/2c236a01cf37f6d401b2f8b72684e0f7,seed,,01-11-2015,202250.0
