,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
846,/organization/71lbs,/funding-round/ccd901609d45c2a6958f5e3e52f3c465,angel,,20-03-2012,
866,/organization/7dnei-net,/funding-round/4092151da3366cc3839019e3ad93c943,angel,,05-02-2014,120000.0
869,/organization/7k7k-com,/funding-round/955d1040c645b9ea8d2552baac71ffe8,angel,,01-05-2010,1136548.0
936,/organization/9-plus-studio,/funding-round/396a0eecaeb336238e47cbaaeb9cef42,angel,,11-07-2013,2000000.0
941,/organization/909c,/funding-round/127c2c22d16c34b5f7a7f6caf2280122,angel,,05-07-2013,1292301.0
945,/organization/90sec-technologies,/funding-round/38c7c9853eb4f583c538b240a94dc79f,angel,,01-09-2013,100000.0
948,/organization/91-wireless,/funding-round/514659db59fde5256737c0d20591e9de,angel,,01-12-2011,30000000.0
953,/organization/9158-julur-com,/funding-round/dc945eef7c40288f62e3f6d7fba5f4f3,angel,,01-12-2010,4502251.0
955,/organization/91datong-com,/funding-round/a9b4876a5d8b8124a0f5a08758b2c378,angel,,01-03-2011,63590263.0
956,/organization/91jinrong,/funding-round/33a0502bba0a6317098bf1287fd6fcad,angel,,01-10-2011,
974,/organization/99degrees-custom,/funding-round/2ca7866475222d992f70fc067e39cab3,angel,,07-11-2014,400000.0
986,/organization/99taojin-com,/funding-round/e5185c19cbf8b7bfa709bf19c1fb47a0,angel,,01-01-2011,7575757.0
990,/organization/99tests,/funding-round/52b65967d8444f09aa7ee5aa30ffa75b,angel,,22-07-2013,100000.0
992,/organization/99tests,/funding-round/e5b56c6b6db6d3f25deec865ec27c8fe,angel,,22-07-2013,100000.0
998,/organization/9diamond,/funding-round/e7424946f710d28f178b8ded911dc10c,angel,,01-01-2005,
1001,/organization/9flava,/funding-round/0fc7882711e1a034c90d2a070f73c1e8,angel,,30-05-2012,254730.0
1003,/organization/9flava,/funding-round/9ea3287c547dc3052fe082cf14ef4d50,angel,,17-02-2012,230701.0
1016,/organization/9tong-com,/funding-round/ba9c1d5cb93c61fc8c08d34421f60176,angel,,01-05-2012,
1025,/organization/a-better-tomorrow-treatment-center,/funding-round/55deea459a780cc5bf64e27f9525e30f,angel,,10-01-2014,
1067,/organization/a1-software-group,/funding-round/26a846f12dd5be09160b6de30e0fca4a,angel,,03-03-2015,
1086,/organization/a4-data-technology-inc,/funding-round/e57de02290210c8c03e7a73a21758b01,angel,,01-05-2013,
1092,/organization/aa-party,/funding-round/c87a4289a8baace1a4e12c9f6ef34b9d,angel,,01-02-2014,16474.0
1098,/organization/aardvark,/funding-round/210787f64e0628264dee2067dcc07afa,angel,,01-01-2007,750000.0
1139,/organization/abaris,/funding-round/10cb1252dbb10f1db722611f9e1bb29f,angel,,24-07-2014,470000.0
1140,/organization/abaris,/funding-round/e66b861feaa5dc6213211f0a43d8883d,angel,,20-10-2015,250000.0
1222,/organization/abiquo-group,/funding-round/595d0514d405fb5442ebe65fc79d2905,angel,,01-01-2008,800000.0
1364,/organization/academia-edu,/funding-round/975019e368c1ee8ca61628cf4709fea1,angel,,28-04-2010,1600000.0
1367,/organization/academic-earth,/funding-round/9a0d6e6fe27c74c760896914da745b79,angel,,01-10-2008,
1464,/organization/accendo-technologies,/funding-round/436cc0ba2fb2534de621be40b2510f7b,angel,,25-01-2005,1560000.0
1477,/organization/accentium-web,/funding-round/8e7d1567f6e0d7800ba93014cecf960d,angel,,27-08-2014,2000000.0
1529,/organization/accessdna,/funding-round/d21c3ad8d40d1eb8469168ef94d560d3,angel,,01-08-2009,670000.0
1612,/organization/accumulate,/funding-round/1055d91ed7a06faba487a71ea30c256d,angel,,01-01-2008,
1818,/organization/acronym-media-inc,/funding-round/2cf3a22713caf0896ea3459a93604a18,angel,,05-09-2001,
1827,/organization/acsendo,/funding-round/ebeba804033f1e0e1f0da4ea87262afa,angel,,01-01-2012,150000.0
1913,/organization/actionplanner,/funding-round/72d490b205ab57d83f97befe4241b612,angel,,09-01-2014,500000.0
1923,/organization/actito,/funding-round/f3dc662119c5692620af1c856d0b501b,angel,,01-12-2000,900000.0
1970,/organization/active-location-inc,/funding-round/b6fc2769d46162f35a13d20454e29f3d,angel,,02-04-2014,
1990,/organization/actived,/funding-round/13d6d1095995b0f4a560e4520578e531,angel,,11-05-2015,741537.0
2018,/organization/activetrak,/funding-round/8677a5dc3ffb32cbdcf0b02d925dc943,angel,,09-03-2010,500000.0
2027,/organization/activity-rocket,/funding-round/d4d38868e254c14a5223dd9112faceef,angel,,01-08-2012,185000.0
2117,/organization/ad-hoc-labs-2,/funding-round/4a385006c79f4f0e0083572c560af1a8,angel,,18-10-2012,
2138,/organization/ad-tech-media-sales,/funding-round/c26b667df1d46f953a602a5bdb27665e,angel,,15-11-2013,100000.0
2145,/organization/adaffix,/funding-round/e01f53786597fa6f66bed4b149533850,angel,,01-01-2009,
2310,/organization/adcrowd-retargeting,/funding-round/9215e81066f87263265a0cd1dfc3d60d,angel,,08-08-2013,733372.0
2337,/organization/addopad-inc-,/funding-round/253f2dd6077537d96fe1e39114b42c9d,angel,,20-09-2014,150000.0
2338,/organization/addopad-inc-,/funding-round/9b8a9c200e3d6f53ce221eba51a2ee88,angel,,17-03-2014,100000.0
2356,/organization/adealio,/funding-round/a278176334a8d4a74f6cf47f8b83a5c4,angel,,01-03-2011,500000.0
2401,/organization/adfinitum-networks,/funding-round/64a9e28ead7d956e865ae1aa2e215602,angel,,01-06-2009,250000.0
2405,/organization/adflyer,/funding-round/18bd34594183183790469cc884e8aa12,angel,,13-07-2009,
2415,/organization/adgibbon,/funding-round/55543a3b464b5c7aaae263251948af83,angel,,01-10-2011,501958.0
2417,/organization/adgrok,/funding-round/aefd58bbec8de44aae4a552a6fd5ef5d,angel,,07-03-2011,470000.0
2479,/organization/adiply,/funding-round/82d2846963bf653f1318c481e639e6dd,angel,,01-02-2015,1000000.0
2494,/organization/adjudica,/funding-round/233ae40573ad5d9b121f45af00878525,angel,,01-01-2010,500000.0
2510,/organization/adlib-mediation-llc,/funding-round/8bba8ec687b82f0e9ac3774fa6a63535,angel,,15-11-2014,200000.0
2511,/organization/adlogix,/funding-round/7b02b7e1e69807b35cc2c27736d03fb4,angel,,01-01-2007,
2534,/organization/admetric,/funding-round/fa46e47bf08d05556eef179a64b584e1,angel,,01-01-2010,
2542,/organization/administrate,/funding-round/068eff0ca369bf0e1b19b9d3923abaf8,angel,,02-02-2015,868906.0
2543,/organization/administrate,/funding-round/b4c5233813f71fee3fad2894c4393c29,angel,,08-08-2012,672267.0
2581,/organization/adometry,/funding-round/0032978207fa0c375d66c9ec9542af97,angel,,12-01-2010,450000.0
2602,/organization/adore-me,/funding-round/5722d603f849f46353a2d74c3ef275f0,angel,,01-01-2012,
2621,/organization/adpushup,/funding-round/76bf4cf384ca8c3e3a3d2a110a4945ae,angel,,29-10-2014,632000.0
2627,/organization/adquantic,/funding-round/b2bc3fb0010f15095a47cfdc0742cca7,angel,,01-02-2013,
2656,/organization/adsage,/funding-round/3af321873e73767bf01dc405b7c59711,angel,,01-09-2011,20000000.0
2664,/organization/adscore,/funding-round/0ff67cb9482064ea24dcf26450e21d5a,angel,,01-09-2010,50000.0
2671,/organization/adslot,/funding-round/262a30073494cb28b7c62a6830f4a36a,angel,,15-05-2008,940438.0
2678,/organization/adsman-ssp,/funding-round/0825bcbdd510b95fad09900a39c4a2d1,angel,,10-04-2015,100000.0
2690,/organization/adspringr,/funding-round/7b183fe262c377475a5821a3b2348227,angel,,08-08-2013,350000.0
2694,/organization/adstack,/funding-round/ae29ac847c9cf9b5f15f4ab00165d104,angel,,01-04-2011,
